route_long_name,route_short_name,route_type,route_id,route_color,route_text_color
Bielsko-Biała Główna - Częstochowa,S5/S1,2,76109_62653,,
Bielsko-Biała Główna - Katowice,S5,2,76109_73312,FFB900,FFFFFF
Bielsko-Biała Główna - Rybnik,S72,2,76109_68205,8C008C,FFFFFF
Bielsko-Biała Główna - Zwardoń,S5,2,76109_76869,FFB900,FFFFFF
Bielsko-Biała Główna - Żywiec,S5,2,76109_76604,FFB900,FFFFFF
Bohumin - Katowice,S71,2,179223_73312,0096FF,FFFFFF
Bohumin - Katowice Ligota,S71,2,179223_72900,0096FF,FFFFFF
Bohumin - Katowice Piotrowice,S71,2,179223_72967,0096FF,FFFFFF
Bytom - Gliwice,S18,2,72306_69708,CC0066,FFFFFF
Bytom - Lubliniec,S8,2,72306_71407,000096,FFFFFF
Chałupki - Katowice,S71,2,67900_73312,0096FF,FFFFFF
Chałupki - Katowice Piotrowice,S71,2,67900_72967,0096FF,FFFFFF
Chałupki - Racibórz,S78,2,67900_68700,828C96,FFFFFF
Chałupki - Rybnik,S71,2,67900_68205,0096FF,FFFFFF
Chorzew Siemkowice - Chorzów Batory,S82,2,72058_73106,,
Chorzów Batory - Chorzew Siemkowice,S82,2,73106_72058,,
Chorzów Batory - Częstochowa,S9,2,73106_62653,,
Chorzów Batory - Dąbrowa Górnicza,S1,2,73106_74583,FF0000,FFFFFF
Chorzów Batory - Kłobuck,S82,2,73106_71944,,
Chorzów Batory - Lubliniec,S8,2,73106_71407,000096,FFFFFF
Chorzów Batory - Tarnowskie Góry,S8,2,73106_71001,000096,FFFFFF
Chorzów Batory - Zawiercie,S9,2,73106_75309,,
Chybie - Cieszyn,S61,2,75796_75655,1D6434,FFFFFF
Cieszyn - Chybie,S61,2,75655_75796,1D6434,FFFFFF
Cieszyn - Czechowice-Dziedzice,S61,2,75655_76000,1D6434,FFFFFF
Cieszyn - Goleszów,S62/S6,2,75655_76901,,
Cieszyn - Katowice,S6,2,75655_73312,009600,FFFFFF
Cieszyn - Pierściec,S62,2,75655_75762,009600,FFFFFF
Cieszyn - Skoczów,S62,2,75655_75788,009600,FFFFFF
Cieszyn - Wisła Głębce,S62/S6,2,75655_77040,,
Czechowice-Dziedzice - Cieszyn,S61,2,76000_75655,1D6434,FFFFFF
Czechowice-Dziedzice - Katowice,S5,2,76000_73312,FFB900,FFFFFF
Czechowice-Dziedzice - Rybnik,S72,2,76000_68205,8C008C,FFFFFF
Czechowice-Dziedzice - Skoczów,S6,2,76000_75788,009600,FFFFFF
Czechowice-Dziedzice - Wisła Głębce,S6,2,76000_77040,009600,FFFFFF
Czechowice-Dziedzice - Łodygowice,S5,2,76000_76422,FFB900,FFFFFF
Czechowice-Dziedzice - Żywiec,KSL,2,76000_76604,,
Częstochowa - Bielsko-Biała Główna,S1/S5,2,62653_76109,,
Częstochowa - Chorzów Batory,S9,2,62653_73106,,
Częstochowa - Gliwice,S1,2,62653_69708,FF0000,FFFFFF
Częstochowa - Katowice,S9,2,62653_73312,,
Częstochowa - Kraków Główny,S34,2,62653_80416,,
Częstochowa - Kraków Płaszów,S34,2,62653_79905,,
Częstochowa - Lubliniec,S13,2,62653_71407,00D29B,FFFFFF
Częstochowa - Tarnowskie Góry,S9,2,62653_71001,,
Częstochowa - Wisła Głębce,S1/S6,2,62653_77040,,
Częstochowa - Zakopane,S51,2,62653_79020,,FFB900
Częstochowa - Zwardoń,S1/S5,2,62653_76869,,
Częstochowa - Łazy,S1,2,62653_75200,FF0000,FFFFFF
