trip_id,arrival_time,departure_time,stop_id,stop_sequence
79633_5519,20:06:00,20:06:00,76109,1
79633_5519,20:16:00,20:16:00,76000,2
86617_5599,19:15:00,19:15:00,76109,1
86617_5599,19:23:00,19:27:00,76000,2
86617_5599,19:34:00,19:37:00,75903,3
86617_5599,19:54:00,19:55:00,73700,4
86617_5599,20:03:00,20:13:00,72900,5
86617_5599,20:22:00,20:25:00,73312,6
86617_5599,20:44:00,20:45:00,74658,7
86617_5599,20:52:00,20:52:00,74633,8
86617_5599,20:56:00,20:57:00,74583,9
86617_5599,21:08:00,21:09:00,75200,10
86617_5599,21:13:00,21:14:00,75309,11
86617_5599,21:21:00,21:22:00,75424,12
86617_5599,21:29:00,21:30:00,264927,13
86617_5599,21:36:00,21:37:00,62687,14
86617_5599,21:41:00,21:41:00,62653,15
86617_5600,19:15:00,19:15:00,76109,1
86617_5600,19:23:00,19:27:00,76000,2
86617_5600,19:34:00,19:37:00,75903,3
86617_5600,19:54:00,19:55:00,73700,4
86617_5600,20:03:00,20:13:00,72900,5
86617_5600,20:22:00,20:25:00,73312,6
86617_5600,20:44:00,20:45:00,74658,7
86617_5600,20:52:00,20:52:00,74633,8
86617_5600,20:56:00,20:57:00,74583,9
86617_5600,21:08:00,21:09:00,75200,10
86617_5600,21:13:00,21:14:00,75309,11
86617_5600,21:21:00,21:22:00,75424,12
86617_5600,21:29:00,21:30:00,264927,13
86617_5600,21:36:00,21:37:00,62687,14
86617_5600,21:41:00,21:41:00,62653,15
86618_5601,19:18:00,19:18:00,76109,1
86618_5601,19:27:00,19:28:00,76000,2
86618_5601,19:34:00,19:35:00,75903,3
86618_5601,19:48:00,19:53:00,73700,4
86618_5601,20:01:00,20:06:00,72900,5
86618_5601,20:13:00,20:15:00,73312,6
86618_5601,20:26:00,20:27:00,74658,7
86618_5601,20:32:00,20:33:00,74633,8
86618_5601,20:36:00,20:37:00,74583,9
86618_5601,20:49:00,20:50:00,75200,10
86618_5601,20:54:00,21:02:00,75309,11
86618_5601,21:09:00,21:10:00,75424,12
86618_5601,21:17:00,21:18:00,264927,13
86618_5601,21:24:00,21:25:00,62687,14
86618_5601,21:29:00,21:29:00,62653,15
86619_5602,19:50:00,19:50:00,76109,1
86619_5602,19:52:00,19:53:00,76133,2
86619_5602,19:55:00,19:55:00,76141,3
86619_5602,19:58:00,19:58:00,76067,4
86619_5602,20:00:00,20:01:00,76075,5
86619_5602,20:03:00,20:04:00,76000,6
86619_5602,20:07:00,20:08:00,75952,7
86619_5602,20:09:00,20:10:00,75937,8
86619_5602,20:13:00,20:14:00,75903,9
86619_5602,20:19:00,20:19:00,75986,10
86619_5602,20:24:00,20:24:00,75960,11
86619_5602,20:30:00,20:30:00,75978,12
86619_5602,20:34:00,20:41:00,73700,13
86619_5602,20:46:00,20:47:00,72975,14
86619_5602,20:50:00,20:50:00,72967,15
86619_5602,20:53:00,20:54:00,72900,16
86619_5602,21:04:00,21:07:00,73312,17
86619_5602,21:21:00,21:22:00,73502,18
86619_5602,21:42:00,21:47:00,74500,19
86619_5602,21:54:00,21:55:00,75200,20
86619_5602,21:59:00,22:01:00,75309,21
86619_5602,22:08:00,22:16:00,75424,22
86619_5602,22:23:00,22:24:00,264927,23
86619_5602,22:32:00,22:33:00,62687,24
86619_5602,22:37:00,22:37:00,62653,25
86620_5603,19:50:00,19:50:00,76109,1
86620_5603,19:52:00,19:53:00,76133,2
86620_5603,19:55:00,19:55:00,76141,3
86620_5603,19:58:00,19:58:00,76067,4
86620_5603,20:00:00,20:01:00,76075,5
86620_5603,20:03:00,20:04:00,76000,6
