route_id,service_id,trip_headsign,trip_short_name,shape_id,trip_id
179223_73312,1,Katowice,94260,144,9426_181
179223_73312,1,Katowice,94264,144,9428_182
179223_73312,1,Katowice,94272,144,9435_186
179223_73312,2,Katowice,94260,144,8015_32
179223_73312,2,Katowice,94264,144,8017_33
179223_73312,2,Katowice,94268,144,8018_34
179223_73312,2,Katowice,94272,144,8020_35
179223_73312,2,Katowice,94284,144,8021_36
179223_73312,271,Katowice,94268,144,9429_183
179223_73312,287,Katowice,94284,144,9436_187
179223_73312,288,Katowice,94284,144,9436_188
179223_73312,31,Katowice,94284,144,9437_190
179223_73312,32,Katowice,94284,144,9437_191
179223_73312,33,Katowice,94284,144,9436_189
179223_73312,37,Katowice,94268,144,9431_185
179223_73312,41,Katowice,94268,144,9430_184
179282_76869,12,Zwardoń,4402,82,9490_221
179282_76869,12,Zwardoń,4406,82,9567_224
179282_76869,12,Zwardoń,4410,82,9580_227
179282_76869,12,Zwardoń,4414,82,9587_230
179282_76869,12,Zwardoń,4418,82,9590_233
179282_76869,12,Zwardoń,4422,82,9592_236
179282_76869,12,Zwardoń,4426,82,9596_239
179282_76869,12,Zwardoń,4430,82,9601_242
179282_76869,12,Zwardoń,4434,82,9606_245
179282_76869,2,Zwardoń,4438,82,8133_74
179282_76869,214,Zwardoń,4402,82,9481_220
179282_76869,215,Zwardoń,4402,82,8055_56
179282_76869,215,Zwardoń,4406,82,8070_58
179282_76869,215,Zwardoń,4410,82,8108_60
179282_76869,215,Zwardoń,4414,82,8113_62
179282_76869,215,Zwardoń,4418,82,8118_64
179282_76869,215,Zwardoń,4422,82,8120_66
179282_76869,215,Zwardoń,4426,82,8123_68
179282_76869,215,Zwardoń,4430,82,8125_70
179282_76869,215,Zwardoń,4434,82,8130_72
179282_76869,216,Zwardoń,4402,82,8059_57
179282_76869,216,Zwardoń,4406,82,8106_59
179282_76869,216,Zwardoń,4410,82,8111_61
179282_76869,216,Zwardoń,4414,82,8115_63
179282_76869,216,Zwardoń,4418,82,8119_65
179282_76869,216,Zwardoń,4422,82,8121_67
179282_76869,216,Zwardoń,4426,82,8124_69
179282_76869,216,Zwardoń,4430,82,8127_71
179282_76869,216,Zwardoń,4434,82,8131_73
179282_76869,217,Zwardoń,4406,82,9519_223
179282_76869,217,Zwardoń,4410,82,9571_226
179282_76869,217,Zwardoń,4414,82,9583_229
179282_76869,217,Zwardoń,4418,82,9589_232
179282_76869,217,Zwardoń,4422,82,9591_235
179282_76869,217,Zwardoń,4426,82,9595_238
179282_76869,217,Zwardoń,4430,82,9597_241
179282_76869,219,Zwardoń,4434,82,9605_244
179282_76869,220,Zwardoń,4438,82,9610_247
179282_76869,26,Zwardoń,4402,82,9490_222
179282_76869,26,Zwardoń,4406,82,9567_225
179282_76869,26,Zwardoń,4410,82,9580_228
179282_76869,26,Zwardoń,4414,82,9587_231
179282_76869,26,Zwardoń,4418,82,9590_234
179282_76869,26,Zwardoń,4422,82,9592_237
179282_76869,26,Zwardoń,4426,82,9596_240
179282_76869,26,Zwardoń,4430,82,9601_243
179282_76869,26,Zwardoń,4434,82,9606_246
242839_72900,150,Katowice Ligota,94454,153,8681_2266
242839_72900,151,Katowice Ligota,94406,153,8602_2180
242839_72900,151,Katowice Ligota,94454,153,8681_2267
242839_72900,18,Katowice Ligota,94444,153,8651_2238
242839_72900,18,Katowice Ligota,94450,153,8672_2256
242839_72900,247,Katowice Ligota,94410,153,8606_2185
242839_72900,26,Katowice Ligota,94444,153,8651_2239
242839_72900,26,Katowice Ligota,94450,153,8672_2257
242839_72900,29,Katowice Ligota,94444,153,8652_2240
242839_72900,301,Katowice Ligota,94454,153,8681_2265
242839_72900,303,Katowice Ligota,94454,153,8681_2264
242839_72900,304,Katowice Ligota,94454,153,8682_2268
242839_72900,31,Katowice Ligota,94454,153,8680_2262
242839_72900,32,Katowice Ligota,94454,153,8680_2263
242839_72900,320,Katowice Ligota,94406,153,8602_2177
242839_72900,321,Katowice Ligota,94406,153,8604_2183
242839_72900,322,Katowice Ligota,94410,153,8606_2186
242839_72900,324,Katowice Ligota,94406,153,8602_2179
242839_72900,329,Katowice Ligota,94450,153,8674_2259
242839_72900,332,Katowice Ligota,94444,153,8653_2241
242839_72900,333,Katowice Ligota,94444,153,8654_2242
242839_72900,333,Katowice Ligota,94450,153,8676_2261
242839_72900,37,Katowice Ligota,94406,153,8602_2178
242839_72900,75,Katowice Ligota,94444,153,8651_2237
242839_72900,75,Katowice Ligota,94450,153,8672_2255
242839_72900,81,Katowice Ligota,94410,153,8607_2187
242839_73312,150,Katowice,94462,152,8729_2291
242839_73312,151,Katowice,94462,152,8729_2292
242839_73312,18,Katowice,94462,152,8729_2289
242839_73312,19,Katowice,94426,152,8399_2061
242839_73312,19,Katowice,94442,152,8397_2060
242839_73312,2,Katowice,94400,152,7653_2018
242839_73312,2,Katowice,94404,152,7655_2020
242839_73312,2,Katowice,94406,152,7657_2022
242839_73312,2,Katowice,94412,152,7704_2047
242839_73312,2,Katowice,94416,152,7659_2024
242839_73312,2,Katowice,94420,152,7724_2049
242839_73312,2,Katowice,94424,152,7662_2027
242839_73312,2,Katowice,94432,152,7668_2031
242839_73312,2,Katowice,94436,152,7672_2033
242839_73312,2,Katowice,94440,152,7674_2035
242839_73312,2,Katowice,94448,152,7680_2039
242839_73312,2,Katowice,94450,152,7684_2041
242839_73312,2,Katowice,94456,152,7689_2043
242839_73312,2,Katowice,94458,152,7692_2044
242839_73312,2,Katowice,94460,152,7696_2045
242839_73312,2,Katowice,94462,152,7699_2046
242839_73312,20,Katowice,94428,152,7664_2029
242839_73312,20,Katowice,94444,152,7676_2037
242839_73312,20,Katowice,94452,152,7683_2040
242839_73312,20,Katowice,94454,152,7686_2042
242839_73312,247,Katowice,94448,152,8660_2243
242839_73312,255,Katowice,94424,152,8615_2199
242839_73312,301,Katowice,94462,152,8729_2290
242839_73312,31,Katowice,94462,152,8727_2285
242839_73312,317,Katowice,94424,152,8616_2202
242839_73312,318,Katowice,94424,152,8615_2200
242839_73312,319,Katowice,94424,152,8615_2201
242839_73312,32,Katowice,94462,152,8727_2286
242839_73312,322,Katowice,94448,152,8660_2244
242839_73312,329,Katowice,94462,152,8730_2293
242839_73312,333,Katowice,94462,152,8732_2295
242839_73312,75,Katowice,94462,152,8729_2288
242839_73312,81,Katowice,94448,152,8663_2247
242839_73700,11,Tychy,94404,151,8598_2171
242839_73700,11,Tychy,94406,151,8603_2181
242839_73700,11,Tychy,94416,151,8609_2190
242839_73700,11,Tychy,94420,151,8795_2306
242839_73700,14,Tychy,94404,151,8600_2174
242839_73700,150,Tychy,94452,151,8670_2252
242839_73700,151,Tychy,94404,151,8597_2170
242839_73700,151,Tychy,94452,151,8670_2253
242839_73700,18,Tychy,94442,151,8647_2232
242839_73700,19,Tychy,94454,151,8395_2059
242839_73700,20,Tychy,94402,151,7654_2019
242839_73700,20,Tychy,94408,151,7656_2021
242839_73700,20,Tychy,94410,151,7658_2023
242839_73700,20,Tychy,94414,151,7707_2048
242839_73700,20,Tychy,94418,151,7660_2025
242839_73700,20,Tychy,94422,151,7661_2026
242839_73700,20,Tychy,94426,151,7663_2028
242839_73700,20,Tychy,94430,151,7666_2030
242839_73700,20,Tychy,94434,151,7671_2032
242839_73700,20,Tychy,94438,151,7673_2034
242839_73700,20,Tychy,94442,151,7675_2036
242839_73700,20,Tychy,94446,151,7678_2038
